memory_percent,proc.memory.percent,cpu,proc.cpu.threads,disk./.usagePercent,disk./.usageGB,disk.nvme0n1p2.in,disk.nvme0n1p2.out,network.sent,network.recv,proc.memory.availableMB,proc.memory.rssMB,_timestamp,gpu.0.gpu,gpu.0.memory,gpu.0.memoryAllocated,gpu.0.memoryAllocatedBytes,gpu.0.temp,gpu.0.powerWatts,gpu.0.enforcedPowerLimitWatts,gpu.0.powerPercent,gpu.0.smClock,gpu.0.memoryClock,gpu.0.correctedMemoryErrors,gpu.0.uncorrectedMemoryErrors,gpu.0.fanSpeed,gpu.1.gpu,gpu.1.memory,gpu.1.memoryAllocated,gpu.1.memoryAllocatedBytes,gpu.1.temp,gpu.1.powerWatts,gpu.1.enforcedPowerLimitWatts,gpu.1.powerPercent,gpu.1.smClock,gpu.1.memoryClock,gpu.1.correctedMemoryErrors,gpu.1.uncorrectedMemoryErrors,gpu.1.fanSpeed
5.593636694854591,1.9660393713035371,2.7122168949032397,71,90.59166630674738,1612.827293395996,0.859375,77.3515625,4895776.0,11025989.0,485751.54296875,10115.9140625,1787146249.3095226,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1787146264.3089936,100.0,60,86.79764152991231,41928294400,89.0,286.985,300.0,95.66166666666666,1530,7601,0,0,84,0.0,0,0.032424893635495354,15663104,57.0,24.561,300.0,8.187,210,405,0,0,30
5.580628834178724,1.9660393713035371,2.6992733079310214,71,90.59167123494709,1612.8273811340332,0.859375,78.21875,4991612.0,11279623.0,485818.47265625,10115.9140625,1787146264.3105466,,,,,,,,,,,,,,,,,,,,,,,,,,
5.5824379699316475,1.9660393713035371,2.6867298234157464,71,90.59167166348618,1612.8273887634277,0.859375,79.0390625,5032423.0,11427915.0,485809.1640625,10115.9140625,1787146279.310625,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1787146279.3104534,100.0,79,86.79764152991231,41928294400,89.0,292.662,300.0,97.554,1530,7601,0,0,84,0.0,0,0.032424893635495354,15663104,57.0,23.15,300.0,7.716666666666666,210,405,0,0,30
,,,,,,,,,,,,1787146294.307266,100.0,76,86.79764152991231,41928294400,89.0,288.255,300.0,96.085,1470,7601,0,0,84,0.0,0,0.032424893635495354,15663104,57.0,22.999,300.0,7.666333333333333,210,405,0,0,30
5.586342453849938,1.9660393713035371,2.674930372020903,71,90.59167637741633,1612.8274726867676,0.859375,79.828125,5128985.0,11684793.0,485789.07421875,10115.9140625,1787146294.3101315,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1787146309.3081646,100.0,77,86.79764152991231,41928294400,89.0,289.017,300.0,96.339,1530,7601,0,0,84,0.0,0,0.032424893635495354,15663104,57.0,22.895,300.0,7.631666666666667,210,405,0,0,30
5.5849387224159655,1.9660393713035371,2.663352614880503,71,90.59168151988558,1612.827564239502,0.859375,80.37109375,5227849.0,11952252.0,485796.296875,10115.9140625,1787146309.309767,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1787146324.3074496,100.0,71,86.78027589650083,41919905792,89.0,292.836,300.0,97.612,1530,7601,0,0,84,0.0,0,0.032424893635495354,15663104,57.0,23.027,300.0,7.675666666666666,210,405,0,0,30
